StartDate,Start Date
EndDate,End Date
Status,Response Type
IPAddress,IP Address
Progress,Progress
Duration (in seconds),Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
RecipientLastName,Recipient Last Name
RecipientFirstName,Recipient First Name
RecipientEmail,Recipient Email
ExternalReference,External Data Reference
LocationLatitude,Location Latitude
LocationLongitude,Location Longitude
DistributionChannel,Distribution Channel
UserLanguage,User Language
Q1_1,"배달의민족을 친구나 동료에게 추천할 의향이 얼마나 있으신가요? 
전반적인 음식주문 경험을 바탕으로 응답해 주세요.
 

적극적으로 추천할수록 10점에 가까운 높은 점수를, 절대로 추천하지 않을수록 0점에 가까운 낮은 점수를 선택하시면 됩니다. - 지금은 강제로 숨기기 하는 js코드를 썼고, default로는 보입니다"
Q2,"추천 의향에 0~10점 중 [QID53-ChoiceNumericEntryValue-1]점을 주셨습니다.
	

해당 점수를 주신 이유는 무엇인가요? 이유를 구체적으로 적어주세요."
Q11,"[가격・혜택] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 메뉴 가격에 만족한다."
Q12,"[가격・혜택] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 최소주문금액에 만족한다."
Q13,"[가격・혜택] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 혜택(할인 및 쿠폰)에 만족한다."
Q14,"[가격・혜택] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 배달팁에 만족한다."
Q15,"[가격・혜택] 배달의민족을 이용하면서  가격/혜택에 대해 어떻게 느끼셨나요? 
만족했던 점이나 아쉬웠던 점을 자유롭게 적어주세요."
Q21,"[가게・메뉴] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 가게/메뉴는 다양하다."
Q22,"[가게・메뉴] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족에서만 주문할 수 있는 가게/메뉴가 있다."
Q23,"[가게・메뉴] 배달의민족을 이용하면서  가게/메뉴를 선택하는 경험은 어떠셨나요?
만족했던 점이나 아쉬웠던 점을 자유롭게 적어주세요."
Q31,"[배달] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족의 배달속도는 빠르다."
Q32,"[배달] 아래 문장은 배달의민족에 대한 설명입니다. 얼마나 동의하시나요?  
 
배달의민족에서는 도착 예정 시간에 배달 받을 수 있다."
Q33,"[배달] 배달의민족을 이용하면서  배달 경험은 어떠셨나요?
만족했던 점이나 아쉬웠던 점을 자유롭게 적어주세요."
memberNo,memberNo
userId,userId
Q_DataPolicyViolations,Q_DataPolicyViolations
gender,성별
age_group,연령대 (10세 단위)
rgn_nm,지역
bmclub,배민클럽 구독 여부
is_mfo,한그룻 주문경험
oldnew_member,기존/신규 회원
order_rank,
BAEMIN_ord_cnt,
stod_ord_cnt,
BAERA_ord_cnt,
takeout_ord_cnt,
total_ord_cnt,
division,주문경험 서비스: OD / MP / PICKUP